DATE,TOTDTEUSQ163N
2005-01-01,78.3154160473334
2005-04-01,77.6412263267304
2005-07-01,76.6740373127168
2005-10-01,75.6219805743733
2006-01-01,74.6869565043243
2006-04-01,73.9180436605765
2006-07-01,72.5214099664128
2006-10-01,72.4006088314291
2007-01-01,72.2033775579055
2007-04-01,71.7727564286658
2007-07-01,71.8947064207087
2007-10-01,72.7057762388212
2008-01-01,75.9262568584234
2008-04-01,78.792031870464
2008-07-01,78.2674914766896
2008-10-01,83.2652890495941
2009-01-01,83.1650085046961
2009-04-01,88.8992437344547
2009-07-01,92.1023900916053
2009-10-01,90.9236755091071
2010-01-01,91.8417259195672
2010-04-01,88.067104341777
2010-07-01,88.0491352275831
2010-10-01,98.0093969718974
2011-01-01,96.645207008394
2011-04-01,95.7479809105531
2011-07-01,97.7551487159008
2011-10-01,99.0759364418636
2012-01-01,98.9603171113959
2012-04-01,99.592740050519
2012-07-01,99.9159857042725
2012-10-01,101.580789260474
2013-01-01,100.74334672435
2013-04-01,98.6923011613122
2013-07-01,96.4469323071693
2013-10-01,94.2527715288436
2014-01-01,95.9795418345411
2014-04-01,95.0237963537958
2014-07-01,94.964456998712
2014-10-01,96.8871106165579
2015-01-01,95.68919998623
2015-04-01,96.8690901208961
2015-07-01,98.2003023866899
2015-10-01,99.4100087176381
2016-01-01,101.476057889477
2016-04-01,101.572305889964
2016-07-01,98.6272870838883
2016-10-01,99.2380535828353
2017-01-01,98.7384018257191
2017-04-01,96.4406457188942
2017-07-01,95.4897408315864
2017-10-01,92.2416426177482
2018-01-01,93.4526396890776
2018-04-01,91.5562868292991
2018-07-01,94.1456461748735
2018-10-01,94.7851021267558
2019-01-01,97.8043988002239
2019-04-01,95.2694426682094
2019-07-01,94.8506854626833
2019-10-01,96.3720723295851
2020-01-01,99.8053433451506
2020-04-01,99.3161350495654
2020-07-01,97.7799544774594
2020-10-01,95.4560149153042
2021-01-01,95.4338443229793
2021-04-01,92.7109755126446
2021-07-01,90.312574627837
2021-10-01,87.9769387896641
